"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 28, 2011","5.8","6.1","6.4","5.7","0.02K","-5.05%"
"Sep 04, 2011","3.5","5.8","5.8","3.1","1.87K","-40.14%"
"Sep 11, 2011","3.6","3.5","5.0","3.3","5.87K","2.29%"
"Sep 18, 2011","4.1","3.6","5.1","3.5","13.48K","14.85%"
"Sep 25, 2011","3.8","4.1","4.1","3.5","6.86K","-7.07%"
"Oct 02, 2011","2.9","3.8","3.8","2.9","6.48K","-24.15%"
"Oct 09, 2011","2.8","2.9","3.2","2.7","7.75K","-4.50%"
"Oct 16, 2011","2.3","2.8","2.8","1.5","34.91K","-18.12%"
"Oct 23, 2011","2.6","2.3","2.7","1.8","15.91K","13.72%"
"Oct 30, 2011","2.2","2.6","2.6","2.1","5.20K","-15.18%"
"Nov 06, 2011","2.2","2.2","2.3","2.1","3.97K","0.00%"
"Nov 13, 2011","1.6","2.2","2.2","1.5","9.12K","-25.35%"
"Nov 20, 2011","1.9","1.6","1.9","1.6","7.97K","14.20%"
"Nov 27, 2011","2.1","1.9","2.4","1.9","10.92K","11.35%"
"Dec 04, 2011","2.3","2.1","2.3","2.0","5.31K","13.59%"
"Dec 11, 2011","2.4","2.3","2.5","2.3","4.90K","3.85%"
"Dec 18, 2011","3.0","2.4","3.4","2.4","9.66K","24.28%"
"Dec 25, 2011","3.5","3.0","3.8","3.0","9.72K","17.55%"
"Jan 01, 2012","5.3","3.5","5.7","3.5","22.28K","47.89%"
"Jan 08, 2012","5.3","5.3","5.6","4.7","13.63K","1.14%"
"Jan 15, 2012","4.8","5.3","5.6","3.7","17.27K","-9.60%"
"Jan 22, 2012","4.4","4.8","5.0","3.9","12.81K","-8.33%"
"Jan 29, 2012","4.5","4.4","4.8","4.1","6.03K","2.95%"
"Feb 05, 2012","4.3","4.5","4.6","4.1","9.46K","-3.97%"
"Feb 12, 2012","3.3","4.3","4.5","3.0","17.40K","-24.37%"
"Feb 19, 2012","3.6","3.3","4.0","3.2","12.07K","8.21%"
"Feb 26, 2012","3.6","3.6","3.8","3.4","9.22K","0.00%"
"Mar 04, 2012","3.7","3.6","3.9","3.5","8.98K","3.93%"
"Mar 11, 2012","4.1","3.7","4.3","3.6","8.90K","10.27%"
"Mar 18, 2012","3.6","4.1","4.1","3.5","11.85K","-12.01%"
"Mar 25, 2012","3.7","3.6","3.8","3.3","13.49K","3.90%"
"Apr 01, 2012","3.7","3.7","3.9","3.6","9.58K","0.00%"
"Apr 08, 2012","3.8","3.7","3.8","3.6","6.26K","4.62%"
"Apr 15, 2012","4.0","3.8","4.1","3.7","15.10K","4.16%"
"Apr 22, 2012","3.8","4.0","4.1","3.8","13.42K","-4.49%"
"Apr 29, 2012","3.9","3.8","4.0","3.8","5.94K","2.35%"
"May 06, 2012","3.9","3.9","4.0","3.8","12.06K","0.00%"
"May 13, 2012","4.0","3.9","4.1","3.8","14.65K","3.08%"
"May 20, 2012","4.1","4.0","4.2","4.0","15.96K","0.00%"
"May 27, 2012","4.2","4.1","4.2","4.0","11.35K","2.96%"
"Jun 03, 2012","4.5","4.2","4.6","4.2","20.74K","8.15%"
"Jun 10, 2012","5.2","4.5","5.3","4.4","21.45K","14.63%"
