"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 06, 2008","19.45","18.83","19.54","18.78","796.64K","3.62%"
"Jan 13, 2008","19.42","19.65","19.79","19.15","527.86K","-0.15%"
"Jan 20, 2008","20.13","19.47","20.27","19.11","1.38M","3.66%"
"Jan 27, 2008","19.74","20.70","20.70","19.69","923.34K","-1.94%"
"Feb 03, 2008","20.35","19.76","20.42","19.42","543.67K","3.09%"
"Feb 10, 2008","19.84","20.40","20.60","19.84","790.82K","-2.51%"
"Feb 17, 2008","20.51","19.84","20.77","19.84","422.40K","3.38%"
"Feb 24, 2008","20.58","20.63","20.71","20.19","505.25K","0.34%"
"Mar 02, 2008","20.50","20.80","20.92","20.35","440.52K","-0.39%"
"Mar 09, 2008","20.61","20.50","20.71","20.18","299.59K","0.54%"
"Mar 16, 2008","19.20","20.82","20.99","18.80","1.71M","-6.84%"
"Mar 23, 2008","18.94","19.22","19.42","18.87","771.27K","-1.35%"
"Mar 30, 2008","18.54","19.06","19.11","18.02","558.68K","-2.11%"
"Apr 06, 2008","18.71","18.76","19.01","18.51","496.32K","0.92%"
"Apr 13, 2008","18.68","18.80","19.29","18.61","169.50K","-0.16%"
"Apr 20, 2008","18.36","18.70","18.72","18.14","811.52K","-1.71%"
"Apr 27, 2008","17.88","18.34","18.41","17.73","471.04K","-2.61%"
"May 04, 2008","18.19","17.99","18.50","17.95","262.01K","1.73%"
"May 11, 2008","18.67","18.33","18.67","17.94","267.16K","2.64%"
"May 18, 2008","18.88","18.75","19.00","18.31","276.05K","1.12%"
"May 25, 2008","18.34","18.92","18.92","18.12","331.42K","-2.86%"
"Jun 01, 2008","18.29","18.31","18.53","17.98","467.56K","-0.27%"
"Jun 08, 2008","18.12","18.37","18.42","17.90","376.12K","-0.93%"
"Jun 15, 2008","18.63","18.16","18.82","18.13","398.78K","2.81%"
"Jun 22, 2008","18.90","18.73","18.94","18.09","495.21K","1.45%"
"Jun 29, 2008","19.07","18.92","19.26","18.78","298.71K","0.90%"
"Jul 06, 2008","19.40","19.00","19.54","18.75","571.29K","1.73%"
"Jul 13, 2008","19.50","19.56","19.87","19.34","980.15K","0.52%"
"Jul 20, 2008","18.91","19.48","19.67","18.80","691.96K","-3.03%"
"Jul 27, 2008","18.80","19.04","19.10","18.54","665.24K","-0.58%"
"Aug 03, 2008","18.29","18.87","18.90","18.23","1.15M","-2.71%"
"Aug 10, 2008","17.14","18.49","18.50","16.96","1.59M","-6.29%"
"Aug 17, 2008","17.93","17.53","18.10","17.25","402.85K","4.61%"
"Aug 24, 2008","18.27","17.92","18.37","17.79","605.81K","1.90%"
"Aug 31, 2008","18.18","17.86","18.26","17.55","953.94K","-0.49%"
"Sep 07, 2008","17.15","18.25","18.42","17.00","2.23M","-5.67%"
"Sep 14, 2008","19.13","17.50","19.85","17.43","1.59M","11.55%"
"Sep 21, 2008","19.75","19.28","20.00","19.00","895.99K","3.24%"
"Sep 28, 2008","19.55","19.57","20.35","19.30","1.97M","-1.01%"
"Oct 05, 2008","21.36","19.67","22.05","19.56","2.65M","9.26%"
"Oct 12, 2008","18.61","20.30","20.99","18.55","1.55M","-12.87%"
"Oct 19, 2008","18.10","19.18","19.24","17.49","2.33M","-2.74%"
"Oct 26, 2008","18.30","18.55","19.39","18.30","2.23M","1.10%"
"Nov 02, 2008","18.52","18.40","19.01","18.30","2.06M","1.20%"
"Nov 09, 2008","18.87","18.83","19.12","18.30","1.55M","1.89%"
"Nov 16, 2008","20.27","18.94","20.30","18.60","1.26M","7.42%"
"Nov 23, 2008","20.64","20.30","20.88","19.84","2.32M","1.83%"
"Nov 30, 2008","18.95","20.46","20.50","18.90","1.58M","-8.19%"
"Dec 07, 2008","19.88","19.39","20.32","19.10","1.38M","4.91%"
"Dec 14, 2008","19.40","19.84","19.85","19.01","1.78M","-2.41%"
"Dec 21, 2008","19.25","19.41","19.57","19.22","417.68K","-0.77%"
"Dec 28, 2008","20.31","18.99","20.31","18.99","870.05K","5.51%"
"Jan 04, 2009","20.46","20.20","20.51","19.70","699.97K","0.74%"
"Jan 11, 2009","20.31","20.41","20.46","19.70","964.06K","-0.73%"
"Jan 18, 2009","22.31","20.24","22.40","20.24","2.80M","9.85%"
"Jan 25, 2009","23.17","22.41","23.19","21.44","2.59M","3.85%"
"Feb 01, 2009","22.86","23.07","23.25","22.25","1.80M","-1.34%"
"Feb 08, 2009","23.44","22.57","23.95","22.04","2.00M","2.54%"
"Feb 15, 2009","25.44","23.66","25.56","23.61","2.83M","8.53%"
"Feb 22, 2009","24.08","24.52","25.16","23.52","3.29M","-5.35%"
"Mar 01, 2009","23.86","24.41","24.54","23.18","2.35M","-0.91%"
"Mar 08, 2009","23.26","23.79","24.07","22.52","2.83M","-2.51%"
"Mar 15, 2009","22.59","23.00","23.06","21.65","3.00M","-2.88%"
"Mar 22, 2009","22.37","22.43","22.66","21.80","2.04M","-0.97%"
"Mar 29, 2009","21.57","22.55","22.83","21.41","2.00M","-3.58%"
"Apr 05, 2009","21.50","20.85","21.72","20.76","1.41M","-0.32%"
"Apr 12, 2009","21.45","21.50","21.95","21.33","1.02M","-0.23%"
"Apr 19, 2009","22.05","21.53","22.43","21.50","1.32M","2.80%"
"Apr 26, 2009","21.48","22.40","22.45","21.40","1.09M","-2.59%"
"May 03, 2009","21.72","21.61","22.32","21.52","1.96M","1.12%"
"May 10, 2009","22.05","21.62","22.12","21.53","686.98K","1.52%"
"May 17, 2009","21.99","22.25","22.25","21.72","594.87K","-0.27%"
"May 24, 2009","22.26","21.94","22.35","21.80","846.57K","1.23%"
"May 31, 2009","22.05","22.35","22.35","21.88","653.59K","-0.94%"
"Jun 07, 2009","21.64","22.03","22.10","21.55","826.04K","-1.86%"
"Jun 14, 2009","21.54","21.57","21.75","21.53","434.64K","-0.46%"
"Jun 21, 2009","21.50","21.64","21.69","21.08","756.61K","-0.19%"
"Jun 28, 2009","21.43","21.58","21.59","21.20","510.72K","-0.33%"
"Jul 05, 2009","21.04","21.50","21.50","20.97","797.79K","-1.82%"
"Jul 12, 2009","21.40","21.05","21.48","20.94","617.00K","1.71%"
"Jul 19, 2009","21.60","21.50","21.64","21.42","353.71K","0.93%"
"Jul 26, 2009","21.30","21.63","21.64","21.22","1.03M","-1.39%"
"Aug 02, 2009","21.63","21.53","21.76","21.26","983.41K","1.55%"
"Aug 09, 2009","21.35","21.64","21.67","21.35","472.46K","-1.29%"
"Aug 16, 2009","21.43","21.42","21.52","21.17","623.73K","0.37%"
"Aug 23, 2009","21.40","21.48","21.54","21.24","811.15K","-0.14%"
"Aug 30, 2009","22.35","21.54","22.43","21.23","1.32M","4.44%"
"Sep 06, 2009","22.20","22.31","22.47","21.77","1.21M","-0.67%"
"Sep 13, 2009","22.12","22.05","22.34","21.92","1.23M","-0.36%"
"Sep 20, 2009","21.71","22.03","22.16","21.62","719.08K","-1.85%"
"Sep 27, 2009","22.10","21.73","22.32","21.73","812.39K","1.80%"
"Oct 04, 2009","22.92","22.10","23.08","22.07","1.13M","3.71%"
"Oct 11, 2009","22.80","22.95","24.00","22.59","945.61K","-0.52%"
"Oct 18, 2009","22.51","22.76","22.93","22.51","663.02K","-1.27%"
"Oct 25, 2009","22.62","22.60","22.70","22.40","891.22K","0.49%"
"Nov 01, 2009","23.68","22.78","23.86","22.78","1.43M","4.69%"
"Nov 08, 2009","24.09","23.77","24.09","23.52","1.11M","1.73%"
"Nov 15, 2009","24.69","24.25","24.89","24.21","1.24M","2.49%"
"Nov 22, 2009","25.29","25.06","25.41","24.75","1.20M","2.43%"
"Nov 29, 2009","25.15","25.07","25.97","24.91","2.10M","-0.55%"
"Dec 06, 2009","24.42","24.92","25.19","24.42","1.36M","-2.90%"
"Dec 13, 2009","24.84","24.60","25.22","24.50","1.72M","1.72%"
"Dec 20, 2009","24.54","24.97","25.02","24.26","854.80K","-1.21%"
"Dec 27, 2009","24.50","24.80","24.87","24.43","376.65K","-0.16%"
"Jan 03, 2010","25.28","24.85","25.43","24.85","1.26M","3.18%"
"Jan 10, 2010","25.30","25.60","25.68","24.81","818.58K","0.08%"
"Jan 17, 2010","24.91","25.36","25.68","24.70","1.35M","-1.54%"
"Jan 24, 2010","24.93","24.99","25.17","24.82","1.04M","0.08%"
"Jan 31, 2010","24.86","25.08","25.81","24.70","2.21M","-0.28%"
"Feb 07, 2010","25.69","25.10","25.77","24.99","1.44M","3.34%"
"Feb 14, 2010","26.59","25.90","26.62","25.86","1.52M","3.50%"
"Feb 21, 2010","26.29","26.61","26.61","25.87","1.50M","-1.13%"
"Feb 28, 2010","26.92","26.49","26.97","26.41","1.49M","2.40%"
"Mar 07, 2010","25.86","26.74","26.78","25.86","2.40M","-3.94%"
"Mar 14, 2010","26.26","25.84","26.74","25.84","1.89M","1.55%"
