"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 12, 2009","14.760","14.680","15.050","14.100","30.13K","0.07%"
"Apr 19, 2009","15.300","14.750","15.400","14.250","46.56K","3.66%"
"Apr 26, 2009","15.650","15.520","15.940","14.940","71.82K","2.29%"
"May 03, 2009","14.380","15.370","15.500","14.350","48.89K","-8.12%"
"May 10, 2009","15.100","14.310","15.100","13.940","40.52K","5.01%"
"May 17, 2009","14.130","15.090","15.300","14.000","48.82K","-6.42%"
"May 24, 2009","14.500","14.300","14.810","14.070","36.38K","2.62%"
"May 31, 2009","15.670","14.560","15.820","14.560","67.30K","8.07%"
"Jun 07, 2009","16.360","15.970","16.450","15.600","32.96K","4.40%"
"Jun 14, 2009","17.410","16.760","17.500","16.510","76.12K","6.42%"
"Jun 21, 2009","16.720","17.500","17.500","16.400","59.62K","-3.96%"
"Jun 28, 2009","16.620","16.780","17.300","16.580","43.67K","-0.60%"
"Jul 05, 2009","16.000","16.720","16.790","15.950","25.38K","-3.73%"
"Jul 12, 2009","17.150","16.130","17.360","15.710","40.30K","7.19%"
"Jul 19, 2009","16.400","17.280","17.760","15.960","101.96K","-4.37%"
"Jul 26, 2009","16.890","16.590","17.340","16.100","91.55K","2.99%"
"Aug 02, 2009","16.670","16.730","16.870","16.300","63.26K","-1.30%"
"Aug 09, 2009","16.650","16.710","16.740","16.300","47.09K","-0.12%"
"Aug 16, 2009","16.800","16.650","16.800","16.370","34.79K","0.90%"
"Aug 23, 2009","17.400","17.050","17.700","16.980","49.80K","3.57%"
"Aug 30, 2009","17.000","17.230","17.360","16.500","36.68K","-2.30%"
"Sep 06, 2009","17.210","17.280","17.390","16.910","39.75K","1.24%"
"Sep 13, 2009","17.200","16.900","17.300","16.890","40.65K","-0.06%"
"Sep 20, 2009","17.450","17.250","17.740","17.010","46.02K","1.45%"
"Sep 27, 2009","16.960","17.500","17.800","16.770","49.39K","-2.81%"
"Oct 04, 2009","17.370","17.010","17.600","16.760","74.86K","2.42%"
"Oct 11, 2009","17.580","17.500","17.950","17.220","54.58K","1.21%"
"Oct 18, 2009","19.000","17.800","19.730","17.420","175.38K","8.08%"
"Oct 25, 2009","18.990","18.990","19.440","18.770","136.32K","-0.05%"
"Nov 01, 2009","19.200","18.750","19.330","18.640","44.32K","1.11%"
"Nov 08, 2009","19.890","19.230","19.950","19.000","38.53K","3.59%"
"Nov 15, 2009","19.910","19.900","20.220","19.640","74.05K","0.10%"
"Nov 22, 2009","19.480","19.860","20.090","19.250","49.20K","-2.16%"
"Nov 29, 2009","20.250","19.500","20.320","19.310","41.85K","3.95%"
"Dec 06, 2009","20.500","20.000","20.500","19.950","37.34K","1.23%"
"Dec 13, 2009","21.000","20.400","21.000","20.320","53.04K","2.44%"
"Dec 20, 2009","21.530","21.210","21.670","21.050","44.47K","2.52%"
"Dec 27, 2009","21.860","21.410","21.870","21.410","27.78K","1.53%"
"Jan 03, 2010","21.370","21.340","21.620","21.090","52.17K","-2.24%"
"Jan 10, 2010","21.390","21.300","21.700","20.660","61.98K","0.09%"
"Jan 17, 2010","21.030","21.420","21.990","21.030","60.19K","-1.68%"
"Jan 24, 2010","20.450","20.640","21.560","19.920","77.73K","-2.76%"
"Jan 31, 2010","20.500","20.480","20.800","20.070","36.89K","0.24%"
"Feb 07, 2010","20.370","20.480","20.625","20.200","29.42K","-0.63%"
"Feb 14, 2010","21.315","20.700","21.430","20.450","27.13K","4.64%"
"Feb 21, 2010","21.120","21.300","21.300","20.730","16.48K","-0.91%"
"Feb 28, 2010","20.990","21.120","21.570","20.710","26.20K","-0.62%"
"Mar 07, 2010","21.260","20.900","21.460","20.850","51.98K","1.29%"
"Mar 14, 2010","21.770","21.150","22.060","21.150","61.15K","2.40%"
"Mar 21, 2010","22.140","21.710","22.880","21.660","64.94K","1.70%"
"Mar 28, 2010","21.580","22.500","22.500","21.495","21.70K","-2.53%"
"Apr 04, 2010","22.240","21.650","22.430","21.640","27.72K","3.06%"
"Apr 11, 2010","22.830","22.380","22.915","22.110","49.11K","2.65%"
"Apr 18, 2010","23.000","22.750","23.720","22.660","105.44K","0.74%"
"Apr 25, 2010","23.140","23.260","23.450","22.970","84.03K","0.61%"
"May 02, 2010","22.550","23.020","23.485","21.600","107.24K","-2.55%"
"May 09, 2010","23.280","22.200","23.600","22.110","94.98K","3.24%"
"May 16, 2010","21.440","23.270","23.500","21.245","73.48K","-7.90%"
"May 23, 2010","20.870","21.450","21.720","20.520","96.38K","-2.66%"
"May 30, 2010","21.890","21.010","22.060","20.890","33.34K","4.89%"
"Jun 06, 2010","21.080","21.410","21.650","20.500","50.30K","-3.70%"
"Jun 13, 2010","21.310","21.250","21.615","20.810","50.90K","1.09%"
"Jun 20, 2010","20.170","21.550","21.860","20.100","49.64K","-5.35%"
"Jun 27, 2010","18.440","19.840","19.915","18.350","101.25K","-8.58%"
"Jul 04, 2010","19.235","18.600","19.410","18.575","51.13K","4.31%"
"Jul 11, 2010","19.310","19.310","20.250","19.200","69.82K","0.39%"
"Jul 18, 2010","19.830","19.400","20.300","19.160","96.09K","2.69%"
"Jul 25, 2010","19.660","20.100","20.375","19.500","83.82K","-0.86%"
"Aug 01, 2010","18.925","19.850","20.035","18.860","113.99K","-3.74%"
"Aug 08, 2010","19.080","19.390","19.505","18.950","50.09K","0.82%"
"Aug 15, 2010","19.195","19.150","19.550","18.965","42.47K","0.60%"
"Aug 22, 2010","18.570","19.180","19.330","18.520","42.98K","-3.26%"
"Aug 29, 2010","18.935","18.710","19.080","18.390","66.17K","1.97%"
"Sep 05, 2010","18.700","18.940","19.040","18.700","45.79K","-1.24%"
"Sep 12, 2010","19.300","18.850","19.585","18.800","80.95K","3.21%"
"Sep 19, 2010","18.340","19.250","19.500","18.250","81.86K","-4.97%"
"Sep 26, 2010","17.750","18.500","18.555","17.750","83.65K","-3.22%"
"Oct 03, 2010","17.575","17.600","17.875","17.370","104.39K","-0.99%"
"Oct 10, 2010","18.100","17.690","18.160","17.610","181.84K","2.99%"
"Oct 17, 2010","18.210","18.380","18.570","18.050","136.45K","0.61%"
"Oct 24, 2010","19.190","18.250","19.700","17.960","185.25K","5.38%"
"Oct 31, 2010","19.030","19.290","19.650","18.900","158.59K","-0.83%"
"Nov 07, 2010","19.150","19.200","19.845","19.060","173.40K","0.63%"
"Nov 14, 2010","18.805","19.250","19.390","18.730","56.11K","-1.80%"
"Nov 21, 2010","19.115","18.895","19.165","18.710","88.78K","1.65%"
"Nov 28, 2010","20.090","19.230","20.355","19.100","103.32K","5.10%"
"Dec 05, 2010","20.580","20.250","20.730","19.950","92.43K","2.44%"
"Dec 12, 2010","21.250","20.630","21.320","20.180","73.75K","3.26%"
