"Date","Price","Open","High","Low","Vol.","Change %"
"May 30, 2010","76.47","75.76","77.44","75.49","0.26K","1.49%"
"Jun 06, 2010","76.24","75.11","75.11","74.81","0.13K","-0.30%"
"Jun 13, 2010","76.88","76.39","76.66","76.34","0.33K","0.84%"
"Jun 20, 2010","73.77","74.92","74.92","74.05","0.05K","-4.05%"
"Jun 27, 2010","68.95","73.08","73.08","69.81","0.02K","-6.53%"
"Jul 04, 2010","72.05","68.86","72.27","68.86","5.76K","4.50%"
"Jul 11, 2010","70.61","73.71","73.71","71.80","2.85K","-2.00%"
"Jul 18, 2010","72.31","69.53","72.13","69.53","0.08K","2.41%"
"Jul 25, 2010","71.59","71.59","71.59","71.59","-","-1.00%"
"Aug 01, 2010","71.02","72.63","73.23","72.00","0.93K","-0.80%"
"Aug 08, 2010","72.13","72.49","72.49","71.39","0.02K","1.56%"
"Aug 15, 2010","71.64","71.48","71.97","71.48","0.85K","-0.68%"
"Aug 22, 2010","70.64","70.64","70.84","69.99","8.59K","-1.40%"
"Aug 29, 2010","72.66","72.66","72.66","72.66","-","2.86%"
"Sep 05, 2010","74.15","74.33","74.33","74.33","0.07K","2.05%"
"Sep 12, 2010","73.54","73.54","73.54","73.54","-","-0.82%"
"Sep 19, 2010","72.41","74.34","74.34","74.34","2.66K","-1.54%"
"Sep 26, 2010","70.77","71.30","71.89","71.30","5.23K","-2.26%"
"Oct 03, 2010","71.22","71.35","71.40","71.02","1.03K","0.64%"
"Oct 10, 2010","71.39","71.33","71.67","71.16","3.03K","0.24%"
"Oct 17, 2010","72.40","72.25","72.45","72.25","2.51K","1.41%"
"Oct 24, 2010","72.60","72.67","72.67","72.53","0.20K","0.28%"
"Oct 31, 2010","74.33","72.51","74.39","72.51","3.39K","2.38%"
"Nov 07, 2010","74.81","75.10","75.47","75.10","4.10K","0.65%"
"Nov 14, 2010","74.80","74.48","74.84","74.48","5.09K","-0.01%"
"Nov 21, 2010","76.94","74.89","75.87","74.89","2.06K","2.86%"
"Nov 28, 2010","77.91","76.88","78.31","76.86","8.08K","1.26%"
"Dec 05, 2010","79.85","78.28","80.00","78.28","2.01K","2.49%"
"Dec 12, 2010","80.83","79.39","80.00","79.39","4.63K","1.23%"
"Dec 19, 2010","82.02","81.71","82.30","81.71","9.98K","1.47%"
"Dec 26, 2010","81.10","81.46","82.26","81.08","8.76K","-1.12%"
"Jan 02, 2011","83.83","81.21","83.92","81.21","9.44K","3.37%"
"Jan 09, 2011","82.35","83.87","84.49","82.02","5.82K","-1.77%"
"Jan 16, 2011","80.99","82.75","82.79","80.99","11.23K","-1.65%"
"Jan 23, 2011","80.81","80.95","81.09","80.81","14.78K","-0.22%"
"Jan 30, 2011","82.39","80.12","82.63","79.91","18.63K","1.96%"
"Feb 06, 2011","83.96","83.07","83.84","82.53","19.59K","1.91%"
"Feb 13, 2011","84.29","84.76","84.76","84.05","35.84K","0.39%"
"Feb 20, 2011","82.12","84.09","84.09","80.67","30.95K","-2.57%"
"Feb 27, 2011","81.16","81.76","82.68","80.75","6.56K","-1.17%"
"Mar 06, 2011","80.46","80.94","81.72","80.29","29.74K","-0.86%"
"Mar 13, 2011","77.85","79.93","79.93","77.59","21.92K","-3.24%"
"Mar 20, 2011","80.24","78.50","79.78","78.08","27.60K","3.07%"
"Mar 27, 2011","80.98","80.43","81.09","79.67","10.98K","0.92%"
"Apr 03, 2011","79.26","80.63","80.66","79.44","13.57K","-2.12%"
"Apr 10, 2011","78.38","78.89","79.04","77.75","23.19K","-1.11%"
"Apr 17, 2011","78.68","78.89","78.89","78.11","11.57K","0.38%"
"Apr 24, 2011","78.86","78.73","79.14","78.50","6.51K","0.23%"
"May 01, 2011","80.11","79.39","79.97","77.68","11.19K","1.59%"
"May 08, 2011","81.29","80.32","81.37","80.24","13.33K","1.47%"
"May 15, 2011","80.96","81.11","81.11","80.31","5.70K","-0.41%"
"May 22, 2011","80.47","81.03","81.03","80.10","13.61K","-0.61%"
"May 29, 2011","77.05","80.52","80.52","78.38","9.53K","-4.25%"
"Jun 05, 2011","76.35","76.33","76.58","75.29","42.83K","-0.91%"
"Jun 12, 2011","76.77","76.32","77.41","76.26","7.62K","0.55%"
"Jun 19, 2011","77.36","76.66","77.94","76.46","11.95K","0.77%"
"Jun 26, 2011","79.07","77.29","78.57","77.16","8.13K","2.21%"
"Jul 03, 2011","80.92","79.37","81.81","79.28","14.29K","2.34%"
"Jul 10, 2011","80.08","81.55","81.56","79.94","12.86K","-1.04%"
"Jul 17, 2011","80.61","79.95","80.84","79.80","25.38K","0.66%"
"Jul 24, 2011","78.07","79.94","80.02","77.50","25.09K","-3.15%"
"Jul 31, 2011","72.14","78.31","78.31","72.72","25.50K","-7.60%"
"Aug 07, 2011","71.42","70.91","71.86","67.82","21.02K","-1.00%"
"Aug 14, 2011","68.37","71.27","72.01","67.82","13.19K","-4.27%"
"Aug 21, 2011","69.87","68.17","70.39","67.62","11.77K","2.19%"
"Aug 28, 2011","71.88","70.75","73.62","70.60","12.61K","2.88%"
"Sep 04, 2011","73.46","71.09","74.17","70.07","7.23K","2.20%"
"Sep 11, 2011","75.59","72.59","75.65","72.30","15.07K","2.90%"
"Sep 18, 2011","72.70","75.88","76.67","72.11","6.77K","-3.82%"
"Sep 25, 2011","73.95","73.40","75.53","72.96","8.60K","1.72%"
