"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 18, 2009","16.95","17.18","17.32","16.95","0.62K","-0.82%"
"Oct 25, 2009","16.52","17.01","17.01","16.52","0.10K","-2.54%"
"Nov 01, 2009","16.79","16.55","16.79","16.46","0.07K","1.63%"
"Nov 08, 2009","17.20","16.87","17.20","16.87","1.81K","2.44%"
"Nov 15, 2009","16.99","17.24","17.39","16.99","49.26K","-1.22%"
"Nov 22, 2009","16.98","17.25","17.25","16.69","2.34K","-0.06%"
"Nov 29, 2009","17.39","17.00","17.46","16.86","4.39K","2.41%"
"Dec 06, 2009","17.47","17.34","17.47","17.18","2.51K","0.46%"
"Dec 13, 2009","17.64","17.56","17.78","17.56","12.30K","0.97%"
"Dec 20, 2009","17.98","17.72","18.13","17.72","23.81K","1.93%"
"Dec 27, 2009","18.07","18.05","18.13","18.05","35.03K","0.50%"
"Jan 03, 2010","18.41","18.17","18.43","18.12","2.26K","1.88%"
"Jan 10, 2010","18.32","18.40","18.52","18.21","3.99K","-0.49%"
"Jan 17, 2010","18.11","18.42","18.60","18.11","4.92K","-1.15%"
"Jan 24, 2010","17.94","18.02","18.08","17.77","3.16K","-0.94%"
"Jan 31, 2010","17.63","17.82","18.15","17.14","32.37K","-1.73%"
"Feb 07, 2010","17.91","17.70","18.07","17.67","3.58K","1.59%"
"Feb 14, 2010","18.62","18.05","18.62","18.03","3.18K","3.96%"
"Feb 21, 2010","18.38","18.58","18.58","18.25","47.43K","-1.29%"
"Feb 28, 2010","19.01","18.56","19.01","18.55","0.99K","3.43%"
"Mar 07, 2010","19.07","18.98","19.14","18.98","9.10K","0.32%"
"Mar 14, 2010","19.42","19.08","19.55","19.06","9.84K","1.84%"
"Mar 21, 2010","19.70","19.38","19.93","19.35","3.25K","1.44%"
"Mar 28, 2010","19.82","19.77","19.79","19.64","91.07K","0.61%"
"Apr 04, 2010","20.07","20.04","20.14","20.00","0.47K","1.26%"
"Apr 11, 2010","20.00","20.00","20.19","20.00","0.43K","-0.35%"
"Apr 18, 2010","20.23","19.92","20.32","19.86","4.94K","1.15%"
"Apr 25, 2010","20.09","20.47","20.47","19.96","1.46K","-0.69%"
"May 02, 2010","19.18","20.07","20.19","19.18","3.50K","-4.53%"
